id;id_2_employee;date;description;state;link;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10;created;created_at;edited;edited_at
1;89897;2023-04-17T14:19:03;payment;NEW;Alaska vortals;payment;reinvent;Brazil Shirt;killer 1080p Chicken;artificial Omani;Towels Persistent Samoa;Cotton;Soft African;Global Program;Optimization invoice payment;EXE;2023-04-18T07:26:47;Gloves Analyst leverage;2023-04-18T08:31:49
2;35335;2023-04-18T12:51:40;parsing Associate Enterprise-wide;CHECK;override Connecticut;Tuna Business-focused;background;neutral;Soft firewall;Optimization Guinea;connecting Republic complexity;architectures hack Clothing;Implementation;synthesize program Plastic;auxiliary Card;quantifying superstructure;2023-04-17T19:50:33;Dakota card e-markets;2023-04-18T00:10:33
3;48291;2023-04-18T06:41:35;hierarchy circuit Bedfordshire;CHECK;Divide program deliverables;Berkshire explicit;Computers Lead;invoice;Metal Georgia;Bacon Village virtual;upward-trending;ability;content;generating override;engage Baby;deposit;2023-04-17T22:00:53;Oregon;2023-04-17T17:57:34
4;43745;2023-04-17T16:46:15;Texas;CHECK;Towels SAS;Intelligent networks;Soft orchid Pizza;UAE Samoa Soft;parse;River sky;Investor Wooden;Cotton reinvent archive;invoice;bottom-line Computer;granular;Island;2023-04-18T09:31:54;Grocery paradigm Corporate;2023-04-18T11:53:20
5;58032;2023-04-18T09:19:03;architect;CHECK;Architect attitude;implementation Handmade;application Krone integrate;cross-platform;copying Decentralized;Bahamas flexibility Nepal;Ville Escudo Auto;West Analyst Antillian;Bedfordshire Krone;array Naira;Optional;Identity;2023-04-18T00:17:53;Regional Chief reboot;2023-04-18T00:40:29
6;83136;2023-04-18T09:23:20;Lek;NEW;Colorado card;Steel;Savings;Islands,;action-items Director;connect Wooden;holistic;Flat;transmitter Pizza;Islands alarm Automotive;Mauritius Steel Awesome;Music Indiana;2023-04-18T01:46:05;payment communities Metrics;2023-04-17T22:42:47
7;86812;2023-04-17T20:08:25;Assimilated invoice application;NEW;synthesize Refined protocol;bypassing;Handmade Glens;Concrete;Auto transmitting multi-byte;Shoes compress Rubber;efficient invoice;Ford matrices;white River Wooden;Taiwan;pixel Berkshire;Synergistic sensor Grocery;2023-04-17T22:00:12;green Money Central;2023-04-18T10:54:25
8;63043;2023-04-18T08:10:40;Money;NEW;mindshare Rupee Syrian;Pants;dynamic;Croatia;Kentucky Investment Web;infomediaries Future;TCP;Mouse;driver seamless Profound;Drive Locks feed;Massachusetts Multi-tiered visionary;Massachusetts;2023-04-17T22:12:26;Flats directional navigate;2023-04-18T08:34:08
9;12871;2023-04-17T20:08:32;Rubber bottom-line Turnpike;NEW;payment;Keyboard;Account;HTTP supply-chains Human;pink granular Road;orange redefine bleeding-edge;Branding CSS;Dollar solid;dynamic;Account exploit grey;Mouse bypass Common;secured invoice;2023-04-18T10:35:40;Wooden;2023-04-17T16:28:53
10;84886;2023-04-18T06:09:42;back-end;CHECK;CSS Auto Account;Exclusive District harness;bypassing online holistic;bypass;Accountability;Handcrafted;Plastic;AI Mall;Licensed scale Strategist;Garden;initiatives installation Brand;cyan;2023-04-17T18:16:13;infrastructures CFP;2023-04-18T11:01:37
