id;job_title;rol;handling
1;Dynamic Operations Associate;SUPERVISOR;MULTITASK
2;Central Research Assistant;MANAGER;MULTITASK
3;Investor Configuration Liaison;OPERATIONAL;CHECKIN
4;Investor Accounts Liaison;SUPERVISOR;RAMP
5;Central Program Coordinator;MANAGER;CHECKIN
6;International Applications Officer;OPERATIONAL;RAMP
7;Legacy Program Consultant;OPERATIONAL;MULTITASK
8;Central Creative Coordinator;SUPERVISOR;RAMP
9;Global Optimization Architect;OPERATIONAL;CHECKIN
10;Dynamic Division Facilitator;MANAGER;MULTITASK
