id;id_2_job;code;name;expiration_in_month;type_course;autorization_by;duration_authorization_in_month;description;link;created;created_at;edited;edited_at
1;98579;neural Euro seize;Rupee background;10154;REMOTE;Soft;24607;Sausages niches synthesizing;array Tasty Ohio;Iraq;2023-04-18T08:53:04;exuding Arizona Architect;2023-04-18T04:05:15
2;76915;supply-chains access;cyan Mouse;54358;ONLINE;Steel Concrete Table;5375;ROI;Gorgeous bandwidth;Dinar Games Kids;2023-04-17T22:06:50;Kids;2023-04-17T18:45:59
3;45969;copy relationships;Incredible Turkey;69643;WBT;FTP;60805;Intelligent Plastic;THX;motivating Customer primary;2023-04-18T11:23:56;Granite Orchestrator;2023-04-18T09:09:36
4;5466;Pula;Shoes matrices SMS;11832;ONLINE;Fantastic pink Soft;74652;Data JBOD;payment deposit;Cliff;2023-04-18T01:11:24;extend;2023-04-18T06:34:49
5;77754;Tennessee;IB compressing;42392;WBT;streamline;62752;capacitor;hack upward-trending Rubber;Tools orange;2023-04-18T01:52:47;streamline Turnpike granular;2023-04-18T04:44:21
6;27276;eco-centric adapter;Interactions attitude-oriented;96421;ONLINE;Maine Account CSS;69170;ubiquitous Keyboard;Dynamic override;Cambridgeshire;2023-04-17T17:34:38;feed Legacy;2023-04-18T14:05:06
7;26411;grid-enabled;Ouguiya Research;48221;REMOTE;Refined CSS;91075;Incredible primary Table;sticky back;Account Ergonomic;2023-04-17T23:06:28;tan;2023-04-18T05:19:58
8;74443;B2C;compress Account Handmade;82414;REMOTE;Cape;8296;TCP;seamless;program Mississippi;2023-04-17T22:45:42;Salad;2023-04-17T20:01:32
9;54170;Human;Cheese Wooden invoice;74211;WBT;Metal collaborative;56370;RSS;Pants Senior;Parkway harness AI;2023-04-17T16:50:37;XML 1080p Uruguayo;2023-04-18T12:32:56
10;12723;withdrawal Chicken i;Coordinator;53463;REMOTE;magenta Licensed withdrawal;22556;teal Mobility;Tuna payment auxiliary;Table local;2023-04-18T12:42:59;Intelligent;2023-04-18T03:14:24
