id;id_2_course;id_2_employee;code;date;expiry;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10;created;created_at;edited;edited_at
1;22625;26268;cross-platform Metal;2023-04-18T09:04:55;2023-04-18T01:26:44;adapter;Mouse mobile Car;generate Factors;deposit;compress Chief;Salad Home;Streamlined;innovative;heuristic Rubber;Bedfordshire;Towels;2023-04-18T09:36:22;revolutionize Rubber back-end;2023-04-18T00:31:50
2;26309;89046;Cambridgeshire Soft;2023-04-17T23:14:47;2023-04-18T12:13:39;Balboa Metal convergence;Branding Money;Loan;Montana transmitting payment;Computers;Auto;Sudanese;quantify pixel Kids;global;calculating;withdrawal indexing River;2023-04-17T17:56:13;Money;2023-04-18T09:54:05
3;99424;95662;Caledonia defect;2023-04-17T22:41:08;2023-04-18T07:17:40;USB Steel;collaborative mobile ubiquitous;ROI metrics Stravenue;Intranet;access;eyeballs Account Kentucky;Dinar violet;system Dynamic Australia;bypassing;Electronics;Kansas Table azure;2023-04-18T03:19:19;convergence;2023-04-18T06:04:41
4;94704;70326;Handmade Proactive;2023-04-17T18:06:32;2023-04-18T13:09:21;Bedfordshire Senior Extended;methodologies Identity;methodologies Enterprise-wide transition;extensible Shoes;Palau Buckinghamshire;Right-sized reboot;Quality-focused Synergistic Global;generate Solutions THX;B2C white Berkshire;Frozen;Virginia cross-platform the;2023-04-17T17:37:04;Architect Dakota Implementation;2023-04-17T22:28:30
5;55752;61373;productize Iranian U;2023-04-17T19:35:21;2023-04-18T02:53:45;ADP;firewall;alarm systems Object-based;Ergonomic Plastic;Fords;invoice groupware;Borders navigating Account;Home Granite;throughput Buckinghamshire;Shoes;Orchestrator Cambridgeshire Incredible;2023-04-18T11:19:19;AI;2023-04-18T13:35:35
6;60964;67671;sticky;2023-04-17T22:37:02;2023-04-18T00:25:02;encompassing Bedfordshire;Facilitator dedicated Mexico;improvement Fantastic Assistant;Synergistic e-markets;Refined Table Functionality;Account;Forward Plain;scale Rubber;feed calculating;Cambridgeshire Gloves digital;silver Bike;2023-04-17T18:24:30;database value-added;2023-04-17T22:08:33
7;65409;54386;Dynamic gold envisio;2023-04-17T22:12:07;2023-04-17T16:08:48;Investment Tuna;JSON;aggregate withdrawal;AGP;monitor capacitor;navigate Wooden;matrix Games;Optimization;Exclusive;invoice Cambridgeshire partnerships;HTTP purple Concrete;2023-04-18T04:23:53;Interactions Chair;2023-04-17T18:34:17
8;77503;13131;Awesome;2023-04-18T06:42:04;2023-04-18T06:36:11;Baby Buckinghamshire Sleek;payment Facilitator Oregon;Sausages silver JSON;Keyboard Concrete Computers;dot-com Grocery transmit;integrated;Account;database;program Soap override;Games;Multi-tiered Chicken;2023-04-18T09:04:05;Gorgeous object-oriented auxiliary;2023-04-18T06:18:21
9;24151;26435;Applications PNG;2023-04-17T21:16:25;2023-04-18T00:13:10;JBOD Account Keyboard;Pizza Coordinator SMS;Cape Sleek;Fantastic;stable Soft;azure Cloned Creative;Salad blockchains open-source;withdrawal hacking;solid;copy;Agent Incredible deposit;2023-04-17T15:08:37;lavender;2023-04-17T20:20:46
10;42625;86437;Montana;2023-04-17T21:28:22;2023-04-18T14:04:42;Macao;Fantastic Dollar;silver generate;Customer Investor;Paradigm;transmitting panel Jewelery;Wells Internal withdrawal;Direct Orchestrator exuding;up Metal;Guatemala Wooden groupware;monitor extranet Drives;2023-04-18T08:33:46;Executive;2023-04-18T07:34:48
